team,elo
España,2166.14
Argentina,2114.11
Francia,2069.34
Inglaterra,2042.77
Colombia,2000.21
Brasil,1987.24
Portugal,1970.42
Países Bajos,1943.36
Ecuador,1933.42
Croacia,1933.08
Suiza,1902.24
Alemania,1887.10
Uruguay,1874.59
Japón,1874.03
Senegal,1867.98
Dinamarca,1864.00
Turquía,1862.65
Italia,1859.00
México,1857.17
Marruecos,1847.87
Bélgica,1844.46
USA,1825.05
Serbia,1820.00
Canadá,1785.81
Corea del Sur,1785.49
Australia,1771.63
Paraguay,1760.84
Escocia,1750.25
Chequia,1742.62
Irán,1727.68
Bosnia,1704.85
Costa Rica,1700.00
Egipto,1692.27
Arabia Saudita,1681.98
Ghana,1673.88
Albania,1650.00
Sudáfrica,1646.21
Panamá,1635.27
Jordania,1618.89
Iraq,1614.67
Cabo Verde,1608.29
Qatar,1603.61
Congo DR,1567.51
Uzbekistán,1565.86
Nueva Zelanda,1554.58
Haití,1444.26
Curazao,1388.30
