date,home,away,home_goals,away_goals,group,round
2026-06-11,Mexico,South Africa,2,0,GROUP_A,GROUP_A
2026-06-12,South Korea,Czechia,2,1,GROUP_A,GROUP_A
2026-06-12,Canada,Bosnia-Herzegovina,1,1,GROUP_B,GROUP_B
2026-06-13,United States,Paraguay,4,1,GROUP_D,GROUP_D
2026-06-13,Qatar,Switzerland,1,1,GROUP_B,GROUP_B
2026-06-13,Brazil,Morocco,1,1,GROUP_C,GROUP_C
2026-06-14,Haiti,Scotland,0,1,GROUP_C,GROUP_C
2026-06-14,Australia,Turkey,2,0,GROUP_D,GROUP_D
2026-06-14,Germany,Curaçao,7,1,GROUP_E,GROUP_E
2026-06-14,Netherlands,Japan,2,2,GROUP_F,GROUP_F
2026-06-14,Ivory Coast,Ecuador,1,0,GROUP_E,GROUP_E
2026-06-15,Sweden,Tunisia,5,1,GROUP_F,GROUP_F
2026-06-15,Spain,Cape Verde Islands,0,0,GROUP_H,GROUP_H
2026-06-15,Belgium,Egypt,1,1,GROUP_G,GROUP_G
2026-06-15,Saudi Arabia,Uruguay,1,1,GROUP_H,GROUP_H
2026-06-16,Iran,New Zealand,2,2,GROUP_G,GROUP_G
2026-06-16,France,Senegal,3,1,GROUP_I,GROUP_I
2026-06-16,Iraq,Norway,1,4,GROUP_I,GROUP_I
2026-06-17,Argentina,Algeria,3,0,GROUP_J,GROUP_J
2026-06-17,Austria,Jordan,3,1,GROUP_J,GROUP_J
2026-06-17,Portugal,Congo DR,1,1,GROUP_K,GROUP_K
2026-06-17,England,Croatia,4,2,GROUP_L,GROUP_L
2026-06-17,Ghana,Panama,1,0,GROUP_L,GROUP_L
2026-06-18,Uzbekistan,Colombia,1,3,GROUP_K,GROUP_K
2026-06-18,Czechia,South Africa,1,1,GROUP_A,GROUP_A
2026-06-18,Switzerland,Bosnia-Herzegovina,4,1,GROUP_B,GROUP_B
2026-06-18,Canada,Qatar,6,0,GROUP_B,GROUP_B
2026-06-19,Mexico,South Korea,1,0,GROUP_A,GROUP_A
2026-06-19,United States,Australia,2,0,GROUP_D,GROUP_D
2026-06-19,Scotland,Morocco,0,1,GROUP_C,GROUP_C
2026-06-20,Brazil,Haiti,3,0,GROUP_C,GROUP_C
2026-06-20,Turkey,Paraguay,0,1,GROUP_D,GROUP_D
2026-06-20,Netherlands,Sweden,5,1,GROUP_F,GROUP_F
2026-06-20,Germany,Ivory Coast,2,1,GROUP_E,GROUP_E
2026-06-21,Ecuador,Curaçao,0,0,GROUP_E,GROUP_E
2026-06-21,Tunisia,Japan,0,4,GROUP_F,GROUP_F
2026-06-21,Spain,Saudi Arabia,4,0,GROUP_H,GROUP_H
2026-06-21,Belgium,Iran,0,0,GROUP_G,GROUP_G
2026-06-21,Uruguay,Cape Verde Islands,2,2,GROUP_H,GROUP_H
2026-06-22,New Zealand,Egypt,1,3,GROUP_G,GROUP_G
2026-06-22,Argentina,Austria,2,0,GROUP_J,GROUP_J
2026-06-22,France,Iraq,3,0,GROUP_I,GROUP_I
2026-06-23,Norway,Senegal,3,2,GROUP_I,GROUP_I
2026-06-23,Jordan,Algeria,1,2,GROUP_J,GROUP_J
2026-06-23,Portugal,Uzbekistan,5,0,GROUP_K,GROUP_K
2026-06-23,England,Ghana,0,0,GROUP_L,GROUP_L
2026-06-23,Panama,Croatia,0,1,GROUP_L,GROUP_L
2026-06-24,Colombia,Congo DR,1,0,GROUP_K,GROUP_K
2026-06-24,Switzerland,Canada,2,1,GROUP_B,GROUP_B
2026-06-24,Bosnia-Herzegovina,Qatar,3,1,GROUP_B,GROUP_B
2026-06-24,Morocco,Haiti,4,2,GROUP_C,GROUP_C
2026-06-24,Scotland,Brazil,0,3,GROUP_C,GROUP_C
2026-06-25,Czechia,Mexico,0,3,GROUP_A,GROUP_A
2026-06-25,South Africa,South Korea,1,0,GROUP_A,GROUP_A
2026-06-25,Ecuador,Germany,2,1,GROUP_E,GROUP_E
2026-06-25,Curaçao,Ivory Coast,0,2,GROUP_E,GROUP_E
2026-06-25,Tunisia,Netherlands,1,3,GROUP_F,GROUP_F
2026-06-25,Japan,Sweden,1,1,GROUP_F,GROUP_F
2026-06-26,Turkey,United States,3,2,GROUP_D,GROUP_D
2026-06-26,Paraguay,Australia,0,0,GROUP_D,GROUP_D
2026-06-26,Norway,France,1,4,GROUP_I,GROUP_I
2026-06-26,Senegal,Iraq,5,0,GROUP_I,GROUP_I
2026-06-27,Uruguay,Spain,0,1,GROUP_H,GROUP_H
2026-06-27,Cape Verde Islands,Saudi Arabia,0,0,GROUP_H,GROUP_H
2026-06-27,New Zealand,Belgium,1,5,GROUP_G,GROUP_G
2026-06-27,Egypt,Iran,1,1,GROUP_G,GROUP_G
2026-06-27,Panama,England,0,2,GROUP_L,GROUP_L
2026-06-27,Croatia,Ghana,2,1,GROUP_L,GROUP_L
2026-06-27,Colombia,Portugal,0,0,GROUP_K,GROUP_K
2026-06-27,Congo DR,Uzbekistan,3,1,GROUP_K,GROUP_K
2026-06-28,Jordan,Argentina,1,3,GROUP_J,GROUP_J
2026-06-28,Algeria,Austria,3,3,GROUP_J,GROUP_J
2026-06-28,South Africa,Canada,0,1,,LAST_32
2026-06-29,Brazil,Japan,2,1,,LAST_32
2026-06-29,Germany,Paraguay,4,5,,LAST_32
2026-06-30,Netherlands,Morocco,3,4,,LAST_32
2026-06-30,Ivory Coast,Norway,1,2,,LAST_32
2026-06-30,France,Sweden,2,0,,LAST_32
